OBJECTI,ROAD_RANK,MAX_SPD,ROAD_NAME_,X01hr,X02hr,X03hr,X04hr,X05hr,X06hr,X07hr,X08hr,X09hr,X10hr,X11hr,X12hr,X13hr,X14hr,X15hr,X16hr,X17hr,X18hr,X19hr,X20hr,X21hr,X22hr,X23hr,X24hr,Average
153320,104,60,Samcheong-ro 7-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297449,104,30,Yulgok-ro,20.674313186813187,22.51091575091575,23.662637362637362,24.512554945054944,24.99514233241506,24.664020146520148,23.200989010989012,21.511932234432233,19.721675824175826,17.537957875457877,15.983333333333334,16.320739726027398,14.97930593607306,13.92337899543379,13.096118721461186,12.955118829981718,13.145875343721357,13.361919561243145,13.469141552511415,14.576492673992673,17.37220695970696,19.565457875457877,19.930982552800735,21.047300275482094,18.446646291943257
295622,104,60,Daehak-ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295483,104,30,Changgyeonggung-ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297734,104,0,Eulji-ro 44-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152990,104,30,Jahamun-ro 10-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155132,104,0,Saemunan-ro 2-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295618,104,30,Gimsangok-ro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151290,103,60,Sejong-daero,26.418197802197803,27.603791208791208,28.69253846153846,29.87257142857143,30.423404958677686,30.177087912087913,28.20706043956044,25.441824175824177,22.999102422907487,21.813802197802197,22.227774104683196,23.180465753424656,23.160619178082193,22.241867105985722,21.22281868131868,21.53736579966796,21.674594146880178,21.745569620253164,20.75046677649643,22.189625550660793,24.708661894273128,25.322896475770925,26.27593388429752,27.552,24.810001665823055
297596,104,30,Eulji-ro 44-gil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
